GRB,z,trigger_utc,photon_file,N_selected,Emax_MeV,Emax_GeV,dt_s,dt_rest_s,photon_RA,photon_DEC,sep_deg,ZENITH_ANGLE
GRB080916C,4.35,2008-09-16 00:12:45.000,/mnt/c/Users/david/Downloads/LIV_multiGRB/GRB080916C/L2605030822081A80259826_PH00.fits,283,27428.8046875,27.4288046875,42.12245160341263,7.8733554398902115,119.84027099609375,-56.72138214111328,4.687935918851602,83.47113800048828
GRB090510,0.903,2009-05-10 00:22:59.971,/mnt/c/Users/david/Downloads/LIV_multiGRB/GRB090510/L2605030701551A80259815_PH00.fits,248,29914.779296875,29.914779296875,2.828318953514099,1.4862422246527058,333.57745361328125,-26.631202697753906,0.037147287135795445,52.33538818359375
GRB090902B,1.822,2009-09-02 11:05:08.310,/mnt/c/Users/david/Downloads/LIV_multiGRB/GRB090902B/L2605030831271A80259806_PH00.fits,450,39881.58203125,39.88158203125,83.74910372495651,29.67721606128863,263.6042175292969,28.653032302856445,1.8081285744511937,44.64616012573242
GRB090926A,2.1062,2009-09-26 04:20:26.000,/mnt/c/Users/david/Downloads/LIV_multiGRB/GRB090926A/L260503084628F357373F61_PH00.fits,66,10418.3583984375,10.4183583984375,3788.0406794548035,1219.50958710154,353.3916931152344,-66.28456115722656,0.03559575857944965,61.946556091308594
GRB130427A,0.34,2013-04-27 07:47:06.000,/mnt/c/Users/david/Downloads/LIV_multiGRB/GRB130427A/L2605030849011A80259898_PH00.fits,600,94116.390625,94.116390625,246.5496597290039,183.99228337985366,173.0950164794922,27.688919067382812,0.03823411721106396,76.75035858154297
