GRB,z,angular_cut_deg,N_selected,Emax_GeV,dt_s,dt_rest_s,photon_RA,photon_DEC,sep_deg,ZENITH_ANGLE,T90_s
GRB090510,0.903,3,146,29.914779296875,2.828318953514099,1.4862422246527058,333.57745361328125,-26.631202697753906,0.037147287135795445,52.33538818359375,0.96
GRB090902B,1.822,3,286,39.88158203125,83.74910372495651,29.67721606128863,263.6042175292969,28.653032302856445,1.8081285744511937,44.64616012573242,19.3
GRB130427A,0.34,3,398,94.116390625,246.5496597290039,183.99228337985366,173.0950164794922,27.688919067382812,0.03823411721106396,76.75035858154297,138.0
