GRB,z,angular_cut_deg,Emax_GeV,dt_s,sep_deg,E_QG_1_lower_GeV,E_QG_2_lower_GeV,E_QG_1_in_EPlanck,E_QG_2_TeV
GRB080916C,4.35,3,1.894961669921875,1920.8093641400337,1.560300668536513,1860223171935393.0,126541072.13915633,0.00015236490883245089,126541.07213915633
GRB090510,0.903,3,29.914779296875,2.828318953514099,0.037147287135795445,4.708422657989609e+18,17564279438.80346,0.38565178622242685,17564279.43880346
GRB090902B,1.822,3,39.88158203125,83.74910372495651,1.8081285744511937,4.2286712119536205e+17,6944187207.099575,0.03463568852447883,6944187.207099575
GRB090926A,2.1062,3,10.4183583984375,3788.0406794548035,0.03559575857944965,2792351697364106.0,298271443.8649574,0.00022871256428569958,298271.4438649574
GRB130427A,0.34,3,94.116390625,246.5496597290039,0.03823411721106396,6.1323554493456104e+16,3187040477.9897194,0.005022815504419372,3187040.4779897192
